approach,n_refs,strategy,utmos_mean,utmos_std,utmos_count,speaker_sim_mean,speaker_sim_std,speaker_sim_count,wer_mean,wer_std,wer_count
single_baseline,1,random,4.4246533333333335,0.09370201378512304,75,0.9281360000000001,0.044087770688982716,75,0.15281066666666662,0.11975567534182492,75
concat_audio,1,longest,4.389866666666667,0.1680448245649448,75,0.9416226666666667,0.03947992843901252,75,0.2233173333333333,0.22149875136816835,75
concat_audio,1,random,4.431346666666666,0.11852967393696655,75,0.9259466666666665,0.04697761782568989,75,0.15912399999999996,0.12734165348978913,75
concat_audio,2,longest,4.3658399999999995,0.39214042024406165,75,0.9469918918918918,0.03567792670413965,74,0.24072133333333331,0.7360714250546492,75
concat_audio,2,random,4.431893333333334,0.1261837541834123,75,0.9374226666666664,0.04200960821028902,75,0.1436093333333333,0.11071774336345325,75
concat_audio,3,longest,4.4162,0.09808573194308545,75,0.9489186666666668,0.03802437587075375,75,0.21252000000000001,0.17982321123063422,75
concat_audio,3,random,4.389893333333334,0.3788574777782121,75,0.9408783783783784,0.04439045087449743,74,0.8157706666666669,5.553495331959945,75
concat_audio,5,longest,4.400386666666667,0.1431748971404246,75,0.9483333333333334,0.03656026987500686,75,0.15711066666666662,0.12969344580465386,75
concat_audio,5,random,4.384826666666666,0.38092768602712773,75,0.9442391891891894,0.04391930588557344,74,0.3972093333333333,2.2964842578457474,75
embed_avg,1,longest,4.470453333333333,0.08632892680674073,75,0.9358599999999998,0.03721893226462735,75,0.13364266666666666,0.10379091661205796,75
embed_avg,1,random,4.461533333333334,0.08154361017492634,75,0.9205746666666667,0.04502850476577522,75,0.14450266666666664,0.11554359066665768,75
embed_avg,2,longest,4.473706666666667,0.08691371510799592,75,0.9341266666666664,0.03987940040392504,75,0.1398373333333333,0.10818941694425911,75
embed_avg,2,random,4.472653333333334,0.07205975248311587,75,0.9274000000000001,0.04179635313200345,75,0.13761066666666666,0.11349197563410965,75
embed_avg,3,longest,4.469426666666667,0.07831781636613962,75,0.9390759999999998,0.037192522642871914,75,0.15009999999999998,0.13635279459767077,75
embed_avg,3,random,4.483346666666666,0.05515714487381148,75,0.9303813333333331,0.03920287045934586,75,0.14515066666666665,0.10957152590928945,75
embed_avg,5,longest,4.473533333333332,0.054184951868660104,75,0.9379479999999999,0.03407759571521632,75,0.14439466666666664,0.1186581928394661,75
embed_avg,5,random,4.462746666666667,0.10301916553956583,75,0.9367626666666666,0.03464961983853437,75,0.1405453333333333,0.11413352456938598,75
