speaker_id,approach,n_refs,strategy,utmos_mean,utmos_std,utmos_count,speaker_sim_mean,speaker_sim_std,speaker_sim_count,wer_mean,wer_std,wer_count
1995,embed_avg,3,longest,4.491466666666666,0.03413181730264226,15,0.93416,0.026868164911550717,15,0.18510666666666664,0.12931836388578088,15
4446,concat_audio,5,random,4.3792,0.0963959098124574,15,0.9329800000000001,0.03348484091986358,15,0.06666,0.10059229450751045,15
1995,concat_audio,2,random,4.4816,0.0345890155974408,15,0.9329666666666667,0.042640769670530564,15,0.1499133333333333,0.08645351241866239,15
4446,concat_audio,3,longest,4.343800000000001,0.08341993595229928,15,0.9326533333333332,0.03245852004958827,15,0.0703,0.09850363300044175,15
4446,concat_audio,5,longest,4.303,0.17242099640125041,15,0.9323666666666666,0.03364957369007532,15,0.06232,0.10122544993372821,15
4446,concat_audio,2,random,4.393066666666667,0.19913149520091583,15,0.9309466666666666,0.028194448963953032,15,0.06787333333333333,0.09983775027990356,15
4992,single_baseline,1,random,4.4978,0.06220496075762074,15,0.9300133333333332,0.051071320812407124,15,0.14475999999999997,0.1303881830754393,15
1995,concat_audio,1,random,4.486199999999999,0.028165835434339412,15,0.9294666666666668,0.027634907187072216,15,0.18946,0.12665539185409475,15
4446,embed_avg,1,longest,4.3734,0.0935275360522237,15,0.9294333333333333,0.03370512183771537,15,0.06787333333333333,0.09983775027990356,15
4446,embed_avg,2,longest,4.398666666666666,0.15085123545432183,15,0.9287799999999999,0.04148023970174577,15,0.07029333333333333,0.09898399197176616,15
1995,single_baseline,1,random,4.475200000000001,0.05426943364889134,15,0.9279533333333333,0.033171219596569095,15,0.16799999999999998,0.11120817672918017,15
4446,embed_avg,1,random,4.427266666666666,0.08232814712796473,15,0.9268066666666666,0.03551242170337156,15,0.06787333333333333,0.09983775027990356,15
1995,embed_avg,2,longest,4.501066666666666,0.02895431541156483,15,0.9263466666666667,0.030817037650037193,15,0.16954666666666665,0.1154039976199554,15
4446,concat_audio,3,random,4.4324,0.05590272163065305,15,0.9254733333333334,0.05644864248230633,15,0.06787333333333333,0.09983775027990356,15
1995,embed_avg,5,random,4.464466666666667,0.0550699122760808,15,0.9247133333333333,0.022618445906783597,15,0.14991999999999997,0.0860565528342513,15
1995,embed_avg,3,random,4.4864,0.03281941933846916,15,0.92442,0.02644258470184573,15,0.14867333333333332,0.07447974285158412,15
4446,embed_avg,3,random,4.462466666666667,0.040348245964117756,15,0.9242466666666667,0.05090408160265268,15,0.08454,0.14366198821241077,15
4446,embed_avg,2,random,4.4048,0.097264881343973,15,0.9240933333333333,0.033205861502078785,15,0.06666,0.10059229450751045,15
4992,embed_avg,1,random,4.516266666666667,0.04568911509424579,15,0.9235933333333334,0.05533383706024303,15,0.11386666666666664,0.12488711283547614,15
5142,concat_audio,2,longest,4.390066666666667,0.18779527860589754,15,0.9189533333333332,0.032130823355834025,15,0.1744066666666667,0.0439095086784281,15
5142,concat_audio,3,longest,4.4392,0.05153251400814838,15,0.9187933333333334,0.03753966410281771,15,0.16700000000000007,0.04463605205276497,15
5142,concat_audio,5,longest,4.448666666666667,0.04938719710709685,15,0.9179333333333333,0.04070324077421612,15,0.18181333333333338,0.041787059970191505,15
1995,embed_avg,2,random,4.4892666666666665,0.03570807565056771,15,0.9166399999999999,0.04042092456707469,15,0.15913999999999995,0.07316749668690718,15
5142,concat_audio,1,longest,4.4177333333333335,0.10441433034288151,15,0.9138200000000001,0.02967657084541369,15,0.22223333333333337,0.11016062731086736,15
4446,concat_audio,1,random,4.4332,0.05784116181405751,15,0.9111999999999999,0.04894968261972113,15,0.06666,0.10059229450751045,15
5142,single_baseline,1,random,4.378333333333333,0.08052831504389941,15,0.9105,0.036257452435918006,15,0.1744066666666667,0.0439095086784281,15
4446,concat_audio,1,longest,4.242666666666667,0.24729469599380147,15,0.9100199999999998,0.05008280571784521,15,0.06787333333333333,0.09983775027990356,15
1995,embed_avg,1,random,4.470866666666666,0.05862820709067149,15,0.9094599999999999,0.03754446506667603,15,0.16776666666666665,0.10965926230612628,15
4446,single_baseline,1,random,4.423266666666667,0.05317151045258655,15,0.90882,0.051196487044662384,15,0.06353333333333333,0.10053179785994269,15
5142,concat_audio,2,random,4.403066666666666,0.14006501891553622,15,0.9076733333333334,0.029231232481387988,15,0.1685866666666667,0.0547737145857738,15
5142,embed_avg,5,random,4.466,0.04825971404805464,15,0.9042399999999998,0.03855074207179045,15,0.17493333333333336,0.09361466358479976,15
5142,concat_audio,5,random,4.425733333333334,0.06725374834659151,15,0.9037933333333332,0.06537376567167626,15,0.16700000000000007,0.04463605205276497,15
5142,embed_avg,3,longest,4.4498,0.0968144027065632,15,0.9024666666666666,0.03982392795914585,15,0.16700000000000007,0.04463605205276497,15
5142,concat_audio,3,random,4.421333333333334,0.05578999739670022,15,0.8976333333333334,0.04229844081332188,15,0.18604000000000007,0.05944578322183284,15
5142,embed_avg,2,longest,4.489199999999999,0.028102363906669082,15,0.8964866666666668,0.03673573322036864,15,0.18604000000000007,0.05944578322183284,15
5142,embed_avg,3,random,4.490066666666666,0.030254791041294197,15,0.8955933333333335,0.027706457902875452,15,0.17652000000000004,0.053480773581326795,15
5142,embed_avg,5,longest,4.481533333333333,0.044032239271221456,15,0.8950933333333333,0.03608540398765658,15,0.1955666666666667,0.08324451647892205,15
5142,embed_avg,1,longest,4.461799999999999,0.10448526895486951,15,0.8942733333333334,0.036722851326167615,15,0.15748000000000004,0.030501690819643802,15
5142,embed_avg,1,random,4.433333333333334,0.1232892456592953,15,0.8935066666666667,0.034318788412402296,15,0.18604000000000007,0.05944578322183284,15
5142,concat_audio,1,random,4.376333333333333,0.21073974018973768,15,0.8877333333333335,0.03809048750141219,15,0.16700000000000007,0.04463605205276497,15
5142,embed_avg,2,random,4.483333333333333,0.041575519353627084,15,0.8852466666666667,0.036349687887570765,15,0.1654066666666667,0.07033236875890143,15
